LUGAR,FECHA_HECHOS,LOCALIDAD,BARRIO_HECHOS,ARTICULO,EDAD,CAPITULO,NÚMERO_COMPORTAMIENTO,AÑO_NUM
BUCARAMANGA - CM,06/02/2017,03. SAN FRANCISCO,ALARCON,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,26,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,24/06/2017,01. NORTE,CAFE MADRID,"Art. 38 - Comportamientos que afectan la integridad de niños, niñas y adolescentes",52,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",Lit. c,2017
BUCARAMANGA - CM,28/06/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,25,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 4,2017
BUCARAMANGA - CM,30/06/2017,01. NORTE,CAFE MADRID,"Art. 38 - Comportamientos que afectan la integridad de niños, niñas y adolescentes",39,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",Lit. e,2017
BUCARAMANGA - CM,02/10/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,23,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 6,2017
BUCARAMANGA - CM,02/10/2017,01. NORTE,COLORADOS,Art. 34 - Comportamientos que afectan la convivencia en los establecimientos educativos relacionados con consumo de sustancias,24,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 3,2017
BUCARAMANGA - CM,02/10/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,22,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 4,2017
BUCARAMANGA - CM,03/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,53,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,03/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,35,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,04/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,53,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,04/10/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,28,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 4,2017
BUCARAMANGA - CM,04/10/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,35,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 2,2017
BUCARAMANGA - CM,04/10/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,21,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
